,MK,MKH,Kb,Ka,cont
ENSG00000252303,0,0,0,0,0
ENSG00000281771,0,0,0,0,0
ENSG00000281256,0,0,0,0,0
ENSG00000280864,0,0,0,0,0
ENSG00000280792,0,0,0,0,0
ENSG00000281822,0,0,0,0,0
ENSG00000281384,0,0,0,0,0
ENSG00000280505,0,0,0,0,0
ENSG00000281764,0,0,0,0,0
ENSG00000281316,0,0,0,0,0
ENSG00000280963,0,0,0,0,0
ENSG00000280775,0,0,0,0,0
ENSG00000281876,0,0,0,0,0
ENSG00000281766,0,0,0,0,0
ENSG00000281518,0,0,0,0,0
ENSG00000281614,0,0,0,0,0
ENSG00000280584,0,0,0,0,0
ENSG00000281230,0,0,0,0,0
ENSG00000281917,0,0,0,0,0
ENSG00000281067,0,0,0,0,0
ENSG00000281552,0,0,0,0,0
ENSG00000280820,0,0,0,0,0
ENSG00000280751,0,0,0,0,0
ENSG00000280632,0,0,0,0,0
ENSG00000281557,0,0,0,0,0
ENSG00000281430,0,0,0,0,0
ENSG00000281813,0,0,0,0,0
ENSG00000280680,0,0,0,0,0
ENSG00000281309,0,0,0,0,0
ENSG00000281877,0,0,0,0,0
ENSG00000281434,0,0,0,0,0
ENSG00000281226,0,0,0,0,0
ENSG00000281393,0,0,0,0,0
ENSG00000281459,0,0,0,0,0
ENSG00000281022,0,0,0,0,0
ENSG00000281499,0,0,0,0,0
ENSG00000280937,0,0,0,0,0
ENSG00000281626,0,0,0,0,0
ENSG00000280549,0,0,0,0,0
ENSG00000280669,0,0,0,0,0
ENSG00000280781,0,0,0,0,0
ENSG00000281707,0,0,0,0,0
ENSG00000281810,0,0,0,0,0
ENSG00000280908,0,0,0,0,0
ENSG00000281699,0,0,0,0,0
ENSG00000280948,0,0,0,0,0
ENSG00000281092,0,0,0,0,0
ENSG00000280876,0,0,0,0,0
ENSG00000281894,0,0,0,0,0
ENSG00000281679,0,0,0,0,0
ENSG00000280806,0,0,0,0,0
ENSG00000280926,0,0,0,0,0
ENSG00000281835,0,0,0,0,0
ENSG00000281805,0,0,0,0,0
ENSG00000280858,0,0,0,0,0
ENSG00000280949,0,0,0,0,0
ENSG00000281770,0,0,0,0,0
ENSG00000281391,0,0,0,0,0
ENSG00000281540,0,0,0,0,0
ENSG00000280889,0,0,0,0,0
ENSG00000281243,0,0,0,0,0
ENSG00000281907,0,0,0,0,0
ENSG00000281541,0,0,0,0,0
ENSG00000281456,0,0,0,0,0
ENSG00000280661,0,0,0,0,0
ENSG00000280795,0,0,0,0,0
ENSG00000280627,0,0,0,0,0
ENSG00000281089,0,0,0,0,0
ENSG00000281709,0,0,0,0,0
ENSG00000281024,0,0,0,0,0
ENSG00000280907,0,0,0,0,0
ENSG00000281306,0,0,0,0,0
ENSG00000280951,0,0,0,0,0
ENSG00000281102,0,0,0,0,0
ENSG00000280872,0,0,0,0,0
ENSG00000281448,0,0,0,0,0
ENSG00000281661,0,0,0,0,0
ENSG00000281665,0,0,0,0,0
ENSG00000281245,0,0,0,0,0
ENSG00000280706,0,0,0,0,0
ENSG00000280652,0,0,0,0,0
ENSG00000281388,0,0,0,0,0
ENSG00000280610,0,0,0,0,0
ENSG00000281857,0,0,0,0,0
ENSG00000280928,0,0,0,0,0
ENSG00000280516,0,0,0,0,0
ENSG00000281886,0,0,0,0,0
ENSG00000280873,0,0,0,0,0
ENSG00000281244,0,0,0,0,0
ENSG00000280701,0,0,0,0,0
ENSG00000280674,0,0,0,0,0
ENSG00000281623,0,0,0,0,0
ENSG00000280479,0,0,0,0,0
ENSG00000281165,0,0,0,0,0
ENSG00000281879,0,0,0,0,0
ENSG00000280651,0,0,0,0,0
ENSG00000281211,0,0,0,0,0
ENSG00000281509,0,0,0,0,0
ENSG00000281865,0,0,0,0,0
ENSG00000281252,0,0,0,0,0
ENSG00000281175,0,0,0,0,0
ENSG00000281616,0,0,0,0,0
ENSG00000281178,0,0,0,0,0
ENSG00000281084,0,0,0,0,0
ENSG00000280895,0,0,0,0,0
ENSG00000281878,0,0,0,0,0
ENSG00000281449,0,0,0,0,0
ENSG00000280477,0,0,0,0,0
ENSG00000280531,0,0,0,0,0
ENSG00000279195,0,0,0,0,0
ENSG00000281840,0,0,0,0,0
ENSG00000281442,0,0,0,0,0
ENSG00000281277,0,0,0,0,0
ENSG00000281029,0,0,0,0,0
ENSG00000281705,0,0,0,0,0
ENSG00000281324,0,0,0,0,0
ENSG00000280975,0,0,0,0,0
ENSG00000281913,0,0,0,0,0
ENSG00000280582,0,0,0,0,0
ENSG00000281697,0,0,0,0,0
ENSG00000281086,0,0,0,0,0
ENSG00000280831,0,0,0,0,0
ENSG00000280475,0,0,0,0,0
ENSG00000281660,0,0,0,0,0
ENSG00000206783,0,0,0,0,0
ENSG00000281874,0,0,0,0,0
ENSG00000207477,0,0,0,0,0
ENSG00000281818,0,0,0,0,0
ENSG00000281051,0,0,0,0,0
ENSG00000281234,0,0,0,0,0
ENSG00000280689,0,0,0,0,0
ENSG00000281168,0,0,0,0,0
ENSG00000280962,0,0,0,0,0
ENSG00000280495,0,0,0,0,0
ENSG00000281671,0,0,0,0,0
ENSG00000281525,0,0,0,0,0
ENSG00000281860,0,0,0,0,0
ENSG00000280774,0,0,0,0,0
ENSG00000281677,0,0,0,0,0
ENSG00000281320,0,0,0,0,0
ENSG00000281403,0,0,0,0,0
ENSG00000280682,0,0,0,0,0
ENSG00000280548,0,0,0,0,0
ENSG00000280932,0,0,0,0,0
ENSG00000281221,0,0,0,0,0
ENSG00000281526,0,0,0,0,0
ENSG00000281233,0,0,0,0,0
ENSG00000281601,0,0,0,0,0
ENSG00000281009,0,0,0,0,0
ENSG00000281163,0,0,0,0,0
ENSG00000280967,0,0,0,0,0
ENSG00000280568,0,0,0,0,0
ENSG00000280616,0,0,0,0,0
ENSG00000280797,0,0,0,0,0
ENSG00000281123,0,0,0,0,0
ENSG00000281702,0,0,0,0,0
ENSG00000281500,0,0,0,0,0
ENSG00000281198,0,0,0,0,0
ENSG00000281118,0,0,0,0,0
