group;aneuploidy_score;heterogeneity_score
Tumor_BC01;0,0700557189022111;0,392837864363529
Stromal;0,0356324952921780;0,245388625565056
Tumor_BC02;0,0546743680748900;0,385365590342526
Tcell;0,0281238746145049;0,213167795334838
Bcell;0,0287267247590027;0,241168459328567
Tumor_BC03;0,0655731951115226;0,417856511924625
Tumor_BC04;0,0763354191394610;0,472884540998655
Myeloid;0,0299831146535734;0,218451621496572
Tumor_BC05;0,0637236071805655;0,396722492830705
Tumor_BC07;0,0628282431223352;0,435761228172162
