group;aneuploidy_score;heterogeneity_score
normal;0,0382223750487053;0,266106347665621
BCR.ABL.pos_OX00812;0,0494045679874635;0,311265724878727
BCR.ABL.pos_OX1931;0,0471724939593627;0,303000851188707
BCR.ABL.pos_OX01020;0,0421531698078361;0,264900977751871
BCR.ABL.pos_OX00548;0,0474980524442859;0,274276619412661
BCR.ABL.pos_OX00684;0,0583616098343128;0,346749132343616
BCR.ABL.pos_CML1266;0,0381921828411081;0,211957609396143
BCR.ABL.pos_OX00569;0,0364474294752724;0,190690059102284
BCR.ABL.pos_OX01081;0,0353274009382700;0,203367402258569
BCR.ABL.pos_CML656;0,0421883144573652;0,242675601735290
BCR.ABL.pos_CML655;0,0325793395023799;0,144378967858412
BCR.ABL.pos_CML15;0,0347739308457570;0,169326927866358
BCR.ABL.pos_OX00592;0,0394206243462981;0,203405369788616
