group;aneuploidy_score;heterogeneity_score
tumor_PT089;0,0231050133194669;0,303027665780890
macrophage;0,0203215638029639;0,253086065962560
Not_assigned;0,0119247593993196;0,145056104138886
stroma;0,0185234512596460;0,238343084433584
Bcell;0,0172876476284583;0,205823025816502
endothelial;0,0248988682463164;0,294071410501970
tumor_PT039;0,0552342625024831;0,639458879934468
Tcell;0,0152303235254555;0,184124548348758
tumor_PT058;0,0240399018130397;0,267307530145881
tumor_PT081;0,0267409917401976;0,292928495184269
tumor_PT084;0,0340050854702746;0,433359924659301
tumor_PT126;0,0304076192565099;0,353430147988869
