,13,16,15,17,18
MT-TF,0,0,0,1,0
MT-RNR1,20375,11430,6066,23225,17766
MT-TV,0,0,0,0,0
MT-RNR2,71095,66416,31384,150939,79259
MT-TL1,0,0,0,0,0
MT-ND1,8645,24795,19403,23046,20547
MT-TI,0,0,0,0,0
MT-TQ,0,0,0,0,0
MT-TM,0,0,0,0,0
MT-ND2,19535,45802,32931,49620,58344
MT-TW,0,0,0,0,0
MT-TA,0,0,0,0,0
MT-TN,0,0,0,0,0
MT-TC,4,1,2,2,0
MT-TY,2,3,0,4,1
MT-CO1,56020,69755,54556,150425,101532
MT-TS1,0,0,0,0,0
MT-TD,0,0,0,0,0
MT-CO2,49299,69447,46591,127845,104339
MT-TK,0,0,0,0,0
MT-ATP8,3207,4726,4138,9344,6540
MT-ATP6,27690,42617,33492,85548,70930
MT-CO3,39824,69201,45129,82227,69355
MT-TG,0,0,0,0,0
MT-ND3,7827,17355,11195,15520,18528
MT-TR,0,0,0,0,0
MT-ND4L,6764,9473,7223,17149,14075
MT-ND4,66144,80912,62858,156602,148800
MT-TH,0,0,0,0,0
MT-TS2,0,0,0,0,0
MT-TL2,0,0,0,0,0
MT-ND5,15466,22243,17925,45076,29273
MT-ND6,3907,4521,3704,10147,6558
MT-TE,0,0,0,0,0
MT-CYB,9464,22552,18623,39573,32630
MT-TT,0,0,0,0,0
MT-TP,549,615,263,640,430
ENSG00000281819,0,0,0,0,0
ENSG00000281900,0,0,0,0,0
CH507-513H4.3,0,0,0,0,0
RPSAP68,0,0,0,0,0
ENSG00000263150,0,0,0,0,0
ENSG00000281065,0,0,0,0,0
bP-2168N6.1,0,0,0,0,0
RP11-1305N21.1,0,0,0,0,0
ENSG00000262851,0,0,0,0,0
bP-2168N6.3,0,0,0,0,0
RP11-109F19.1,0,0,0,0,0
ENSG00000280601,0,0,0,0,0
ENSG00000261897,0,0,0,0,0
LINC01666,0,0,0,0,0
ENSG00000262784,0,0,0,0,0
ZNF92P1Y,0,0,0,0,0
SNX18P10,0,0,0,0,0
ENSG00000262611,0,0,0,0,0
ENSG00000273578,0,0,0,0,0
MICU2,1330,4457,3092,2441,1630
MTCO1P1,0,0,0,0,0
ENSG00000280712,0,0,0,0,0
RP11-108F14.1,0,0,0,0,0
ENSG00000262755,0,0,0,0,0
ENSG00000281773,0,0,0,0,0
ENSG00000280944,0,0,0,0,0
ENSG00000280617,0,0,0,0,0
FNTAP2,0,0,2,0,0
ENSG00000280917,0,0,0,0,0
ENSG00000263328,0,0,0,0,0
ENSG00000281668,0,0,0,0,0
ENSG00000237334,0,0,0,0,0
ENSG00000281820,0,0,0,0,0
ENSG00000281095,0,0,0,0,0
ENSG00000262796,0,0,0,0,0
ENSG00000231116,0,0,0,0,0
OR8U8,0,0,0,0,0
ENSG00000281038,0,0,0,0,0
RP11-54O7.3,2,4,1,2,12
ENSG00000280577,0,0,0,0,0
ENSG00000276561,0,0,0,0,0
ENSG00000261958,0,0,0,0,0
OR9G9,0,0,0,0,0
ENSG00000281683,0,0,0,0,0
ENSG00000262268,0,0,0,0,0
ENSG00000272603,0,0,0,0,0
PDS5B,1053,3621,1990,1653,1767
ENSG00000262647,0,0,0,0,0
ENSG00000272793,0,0,0,0,0
ENSG00000281265,0,0,0,0,0
ENSG00000272857,0,0,0,0,0
ZNF736P8Y,0,0,0,0,0
ENSG00000272613,0,0,0,0,0
ENSG00000281777,0,0,0,0,0
ENSG00000281313,0,0,0,0,0
GPR12,0,0,0,0,0
ENSG00000281279,0,0,0,0,0
RP11-125K10.5,0,0,0,0,0
ENSG00000236614,0,0,0,0,0
BPY2DP,0,0,0,0,0
ENSG00000234411,0,0,0,0,0
RCL1,54,126,107,226,146
ENSG00000276425,0,0,0,0,0
bP-2189O9.2,45,11,4,33,10
ENSG00000262535,0,0,0,0,0
ENSG00000281107,0,0,0,0,0
EEF1A1P1,0,0,0,0,0
ZNF736P7Y,0,0,0,0,0
ENSG00000281839,0,0,0,0,0
MIR3681HG,69,79,36,7,17
ENSG00000275172,0,0,0,0,0
KLF4P1,0,0,0,0,0
RPL32P23,0,0,0,0,0
FGFR1OP2P1,0,0,0,0,0
RPS21P8,0,0,0,0,0
TUBAP,0,0,0,0,0
ENSG00000274120,0,0,0,0,0
AC096559.2,0,0,0,0,0
ZNF736P9Y,0,0,0,0,0
bP-2171C21.3,0,0,0,0,0
JAGN1,523,1206,876,687,716
RPS20P32,0,0,0,0,0
RP11-131P10.2,1,0,0,0,0
RP11-333O1.1,3,5,2,2,1
RP13-270P17.3,0,0,0,0,0
bP-2171C21.4,0,0,0,0,0
RP13-270P17.2,2,6,6,18,13
ENSG00000276099,0,0,0,0,0
bP-2171C21.2,0,0,0,0,0
AP000459.7,0,0,0,0,0
MYOM1,18,7,2,40,72
ENSG00000275321,0,0,0,0,0
THEG,0,0,1,0,0
RBMY2JP,0,0,0,0,0
ENSG00000280030,0,0,0,0,0
ENSG00000275326,0,0,0,0,0
ENSG00000280722,0,0,0,0,0
ENSG00000281184,0,0,0,0,0
LINC00437,0,0,0,0,0
bP-2171C21.6,0,0,3,0,0
TEKT4P2,0,1,4,0,22
LINC00366,0,0,0,0,0
ENSG00000242361,0,0,0,0,0
bP-2171C21.5,0,0,0,0,0
RBM17,2714,4657,3003,3262,3496
ENSG00000242092,0,0,0,0,0
ENSG00000281722,0,0,0,0,0
ENSG00000275003,0,0,0,0,0
ENSG00000280737,0,0,0,0,0
TBL1YP1,0,0,0,0,0
ENSG00000277909,0,0,0,0,0
AP000474.1,0,0,0,0,0
ENSG00000275758,0,0,0,0,0
ENSG00000281400,0,0,0,0,0
ENSG00000277897,0,0,0,0,0
AP000477.2,0,0,0,0,0
ENSG00000278373,0,0,0,0,0
TRIB2,1548,2948,1516,1002,2378
ENSG00000276777,0,0,0,0,0
ENSG00000273326,0,0,0,0,0
CH17-60O17.5,0,0,0,0,0
AP000477.3,0,0,0,0,0
ENSG00000275336,0,0,0,0,0
RP11-544P1.3,0,0,0,0,0
AP000470.2,0,0,0,0,0
ENSG00000272712,0,0,0,0,0
ENSG00000273086,0,0,0,0,0
CTC-352P4.1,0,0,0,0,0
ENSG00000275050,0,0,0,0,0
ENSG00000273681,0,0,0,0,0
RPS4Y2,0,0,0,0,0
ENSG00000278364,0,0,0,0,0
ENSG00000278091,0,0,0,0,0
LINC01689,0,0,0,0,0
ENSG00000277773,0,0,0,0,0
LINC01684,0,1,8,0,0
HSFY4P,0,0,0,0,0
ENSG00000234495,0,0,0,0,0
ENSG00000280428,0,0,0,0,0
AP001342.1,0,0,0,0,0
CTD-2542C24.1,0,0,0,0,0
AP000235.3,0,0,0,0,0
ENSG00000279318,0,0,0,0,0
AP000146.2,0,0,0,0,0
LINC01692,0,0,0,0,0
AP000402.3,0,0,0,0,0
AC009494.3,0,0,0,0,0
AC064875.2,0,4,3,1,0
ENSG00000276491,0,0,0,0,0
RPS7P10,0,1,1,0,1
USP12-AS1,0,0,0,0,1
RP11-144H23.2,0,0,0,0,0
USP12,1955,3747,2104,2616,2852
ENSG00000281276,0,0,0,0,0
ENSG00000276595,0,0,0,0,0
FGF9,0,0,5,0,7
ENSG00000275985,0,0,0,0,0
ENSG00000278121,0,0,0,0,0
ENSG00000281748,0,0,0,0,0
RP11-138I18.1,0,0,0,0,0
ENSG00000273495,0,0,0,0,0
ENSG00000274650,0,0,0,0,0
USP6NL,945,1660,1228,1184,1417
ENSG00000280929,0,0,0,0,0
GAPDHP17,0,0,0,0,0
AC092635.1,0,0,0,0,0
AC016730.1,0,0,0,0,0
LINC00276,0,0,0,2,0
AC124997.1,0,0,0,0,0
AC023449.2,0,0,0,0,0
TMEM167AP1,0,0,0,0,0
RP11-65G9.1,0,0,0,0,0
AP000233.2,0,0,0,0,0
TOMM22P1,0,0,0,0,0
AC011897.2,0,0,0,0,0
RP11-781P6.1,0,0,1,0,0
MEGF6,6,10,5,88,7
AP000233.3,0,0,1,0,0
LAMA1,5,59,196,660,102
NEFLP1,0,0,0,0,0
AP000233.4,0,0,0,0,0
PRMT5,2860,3331,3340,4291,5039
IL17RE,422,318,282,224,495
RP11-76K13.3,0,0,0,0,0
SNX18P12,0,0,0,2,1
bP-21264C1.2,0,0,0,2,0
RBMY2KP,0,0,0,0,0
RP11-673D15.9,0,0,0,0,0
bP-21264C1.1,0,2,3,10,3
ENSG00000263247,0,0,0,0,0
TSPY24P,0,0,0,0,0
ZNF736P6Y,0,0,0,0,0
RP11-570J4.1,0,0,0,0,0
MTND6P1,0,0,0,0,0
RP11-570J4.2,0,0,0,0,0
MTCYBP1,0,0,0,0,0
RP11-555K2.2,0,0,0,0,0
RP11-555K2.1,0,0,0,0,0
ENSG00000263083,0,0,0,0,0
LINC01667,0,0,0,0,0
ENSG00000262612,0,0,0,0,0
ENSG00000273457,0,0,0,0,0
RP11-380B4.3,5,6,1,4,8
ENSG00000261984,0,0,0,0,0
MTND1P1,0,0,0,0,0
RPL13AP7,0,0,1,1,0
ENSG00000273431,0,0,0,0,0
ENSG00000261853,0,0,0,0,0
LINC00423,0,0,0,0,0
ENSG00000272751,0,0,0,0,0
ENSG00000273092,0,0,0,0,0
MTND2P3,0,0,0,0,0
AP001340.3,0,0,0,0,0
ENSG00000272805,0,0,0,0,0
ENSG00000262293,0,0,0,0,0
ENSG00000263097,0,0,0,0,0
TAS2R45,0,0,0,0,0
AC010086.1,0,0,0,0,0
ENSG00000272803,0,0,0,0,0
ENSG00000262531,0,0,0,0,0
ENSG00000273144,0,0,0,0,0
ENSG00000263028,0,0,0,0,0
ENSG00000262525,0,0,0,0,0
ENSG00000262111,0,0,0,0,0
ENSG00000224979,0,0,0,0,0
ENSG00000272718,0,0,0,0,0
ENSG00000262986,0,0,0,0,0
FAM84A,0,6,12,46,26
ENSG00000263158,0,0,0,0,0
RP11-529E15.1,0,0,0,0,0
AC073218.3,0,0,0,0,0
ENSG00000281610,0,0,0,0,0
LINC01320,1,0,3,0,0
TOMM22P3,0,0,0,0,0
TRIM60P3Y,0,0,0,0,0
ENSG00000277495,0,0,0,0,0
LINC00158,0,0,0,0,0
RP11-2F9.4,0,0,0,0,0
RPS8P10,0,0,0,0,0
ENSG00000280513,0,0,0,0,0
RP11-555K2.4,0,0,0,0,0
RP11-138I18.2,0,0,0,0,0
ENSG00000280853,0,0,0,0,0
IGHV1OR15-1,0,0,0,0,0
ENSG00000281787,0,0,0,0,0
ZNF736P10Y,0,0,0,0,0
ENSG00000281377,0,0,0,0,0
ENSG00000277976,0,0,0,0,0
ENSG00000273954,0,0,0,0,0
ENHO,0,0,0,0,0
ENSG00000279974,0,0,0,0,0
IGHV1OR15-3,0,0,0,0,0
RP11-296L22.8,0,0,0,0,0
CH17-39B16.2,0,0,0,0,0
CH17-39B16.1,0,0,0,0,0
bP-21201H5.1,0,5,0,2,3
RP11-296L22.7,0,0,0,0,0
bP-21201H5.2,0,0,0,0,0
RP11-17E15.1,0,0,0,0,0
TM9SF2,4444,10704,7382,7594,6356
ITPR1,1472,807,778,1370,1541
LINC00412,0,0,0,0,1
RP11-428O18.6,2,2,6,2,3
USP12-AS2,0,2,0,0,0
ATP10A,364,3,371,1258,189
NOC2L,2556,3172,2527,2628,2638
LINC00279,0,0,0,0,0
TTTY18,0,0,0,0,0
MAP1A,0,10,11,15,12
TTTY19,0,0,0,0,0
RP11-345J18.2,57,0,35,215,42
IGHV4OR15-8,0,0,0,0,0
CH507-216K13.2,0,0,0,0,0
ENSG00000275565,0,0,0,0,0
KL,0,0,0,0,0
AGAP10P,0,2,2,4,3
PGGT1BP1,0,0,0,2,1
ENSG00000278780,0,0,0,0,0
ENSG00000227231,0,0,0,0,0
PRORY,0,0,0,0,0
RBM23,1927,2280,2169,3181,2987
IGHV1OR15-4,0,0,0,0,0
AP000221.1,0,0,0,0,0
CH507-216K13.1,0,0,0,0,0
AC068286.1,0,0,0,0,0
EIF3FP1,0,1,0,1,0
AP003900.6,0,3,2,0,0
MIR155HG,0,0,0,0,0
RP11-603B24.6,0,0,0,0,0
RP11-603B24.2,0,0,0,0,0
ZNF512,392,1181,965,630,574
RBMY2EP,0,0,0,0,0
ENSG00000226704,0,0,0,0,0
ENSG00000276446,0,0,0,0,0
AP000223.42,1,4,3,4,2
RP11-603B24.1,0,0,0,1,0
ENSG00000224642,0,0,0,0,0
ENSG00000274835,0,0,0,0,0
ENSG00000241408,0,0,0,0,0
CHCHD2P9,0,2,1,0,0
VN1R7P,0,0,0,0,0
ENSG00000280638,0,0,0,0,0
SAMD11,5,1,2,6,18
RP11-375O18.2,0,0,0,0,0
ECHDC3,351,570,460,676,598
RP11-389J22.3,0,0,0,0,0
ENSG00000225351,0,0,0,0,0
PRPF19P1,0,0,0,0,0
ENSG00000235941,0,0,0,0,0
SLC4A1AP,1193,2273,1381,1635,1563
TTTY11,0,0,0,0,0
ENSG00000273679,0,0,0,0,0
AC010086.5,0,0,0,0,0
RP11-589M2.1,0,0,0,0,0
RBMY2TP,0,0,0,0,0
ENSG00000274279,0,0,0,0,0
AC007967.2,0,0,0,0,0
ENSG00000277429,0,0,0,0,0
FAM197Y10,0,0,0,0,0
CDH19,0,0,24,0,3
RP11-2C7.1,0,0,0,0,0
ENSG00000232804,0,0,0,0,0
TSPY14P,0,0,0,0,0
RP11-1084I9.2,0,0,0,0,0
RP11-631M21.1,0,0,0,0,0
RP11-446P9.1,0,0,0,0,0
RP11-1084I9.1,0,0,0,0,0
FAM166AP7,0,0,0,0,0
ENSG00000236070,0,0,0,0,0
SUPT7L,1306,2285,1458,1924,2050
ENSG00000226463,0,0,0,0,0
ENSG00000233054,0,0,0,0,0
A1CF,5,5,1,5,3
ENSG00000278545,0,0,0,0,0
RP11-158I13.2,0,0,0,0,0
ENSG00000234305,0,0,0,0,0
AC009474.1,0,0,0,0,0
CCDC121,33,74,36,48,48
ZNF414,75,25,53,61,100
EGOT,1,0,1,0,0
AC018816.3,3,3,2,3,4
TUBB8,2,1,2,0,0
GPN1,802,2294,1499,1149,1169
FAM21FP,3,13,6,16,1
ENSG00000226271,0,0,0,0,0
ENSG00000262510,0,0,0,0,0
KB-226F1.5,0,0,0,0,0
ENSG00000224229,0,0,0,0,0
RP11-671E7.1,1,1,9,7,1
LINC00424,0,0,0,0,0
LRRC9,0,0,0,0,0
ENSG00000229040,0,0,0,0,0
BRD7P6,0,0,0,0,0
ENSG00000262752,0,0,0,0,0
ENSG00000261847,0,0,0,0,0
