,13,16,15,18,17
MT-TF,0,0,0,0,0
MT-RNR1,796.532,345.81,251.766,549.456,742.807
MT-TV,0,0,0,0,0
MT-RNR2,1964.2,1251.34,814.754,1605.46,3347.22
MT-TL1,0,0,0,0,0
MT-ND1,379.544,813.673,824.113,747.264,805.925
MT-TI,0,0,0,0,0
MT-TQ,0,0,0,0,0
MT-TM,0,0,0,0,0
MT-ND2,908.053,1446.11,1327.9,2103.15,1655.24
MT-TW,0,0,0,0,0
MT-TA,0,0,0,0,0
MT-TN,0,0,0,0,0
MT-TC,0,0,0,0,0
MT-TY,0,0,0,0,0
MT-CO1,1343.7,1430.35,1495.31,2092.17,2893.87
MT-TS1,0,0,0,0,0
MT-TD,0,0,0,0,0
MT-CO2,3199.35,3735.86,3258.22,6260.53,6518.13
MT-TK,0,0,0,0,0
MT-ATP8,14926.5,11785.8,11413.3,23908,27937
MT-ATP6,2430.5,2709.04,2973.15,5381.83,5767.06
MT-CO3,2830.83,3422.4,2865.51,4052.39,4475.4
MT-TG,0,0,0,0,0
MT-ND3,2968.62,4819.52,4030.4,6504.74,4480.7
MT-TR,0,0,0,0,0
MT-ND4L,3972.26,3207.13,3079.42,6263.62,6359.81
MT-ND4,2208.71,2081.14,2082.9,4278.48,4039.39
MT-TH,0,0,0,0,0
MT-TS2,0,0,0,0,0
MT-TL2,0,0,0,0,0
MT-ND5,298.843,365.353,382.134,491.817,692.282
MT-ND6,99.7736,94.5889,125.252,122.933,252.137
MT-TE,0,0,0,0,0
MT-CYB,351.867,675.714,717.439,1079.09,1154.38
MT-TT,0,0,0,0,0
MT-TP,0,0,0,0,0
ENSG00000281819,0,0,0,0,0
ENSG00000281900,0,0,0,0,0
CH507-513H4.3,0,0,0,0,0
RPSAP68,0,0,0,0,0
ENSG00000263150,0,0,0,0,0
ENSG00000281065,0,0,0,0,0
bP-2168N6.1,0,0,0,0,0
RP11-1305N21.1,0,0,0,0,0
ENSG00000262851,0,0,0,0,0
bP-2168N6.3,0,0,0,0,0
RP11-109F19.1,0,0,0,0,0
ENSG00000280601,0,0,0,0,0
ENSG00000261897,0,0,0,0,0
LINC01666,0,0,0,0,0
ENSG00000262784,0,0,0,0,0
ZNF92P1Y,0,0,0,0,0
SNX18P10,0,0,0,0,0
ENSG00000262611,0,0,0,0,0
ENSG00000273578,0,0,0,0,0
MICU2,36.5303,84.727,80.4339,35.981,49.7057
MTCO1P1,0,0,0,0,0
ENSG00000280712,0,0,0,0,0
RP11-108F14.1,0,0,0,0,0
ENSG00000262755,0,0,0,0,0
ENSG00000281773,0,0,0,0,0
ENSG00000280944,0,0,0,0,0
ENSG00000280617,0,0,0,0,0
FNTAP2,0,0,0.156318,0,0
ENSG00000280917,0,0,0,0,0
ENSG00000263328,0,0,0,0,0
ENSG00000281668,0,0,0,0,0
