,MK,Kb,MKH,cont,Ka
MT-TF,0,0,0,0,0
MT-RNR1,7526.79,9117.62,8862.64,8652.99,0
MT-TV,0,0,0,0,0
MT-RNR2,0,0,0,0,0
MT-TL1,0,0,0,0,0
MT-ND1,143.766,156.897,98.8981,93.2901,121.366
MT-TI,0,0,0,0,0
MT-TQ,0,0,0,0,0
MT-TM,0,0,0,0,0
MT-ND2,88.1342,84.4156,74.3604,60.8018,69.9268
MT-TW,0,0,0,0,0
MT-TA,0,0,0,0,0
MT-TN,0,0,0,0,0
MT-TC,0,0,0,0,0
MT-TY,0,0,0,0,0
MT-CO1,679.069,925.143,743.335,745.089,1169.81
MT-TS1,0,0,0,0,0
MT-TD,0,0,0,0,0
MT-CO2,841.2,1116.1,718.467,810.77,1060.63
MT-TK,0,0,0,0,0
MT-ATP8,654.416,801.544,759.547,634.843,965.182
MT-ATP6,227.923,305.163,302.49,217.026,318.285
MT-CO3,1751.04,2191.71,1591.6,1554.4,2176.75
MT-TG,0,0,0,0,0
MT-ND3,1250.16,1012.42,797.995,820.289,1025.84
MT-TR,0,0,0,0,0
MT-ND4L,384.254,308.59,336.097,229.54,268.815
MT-ND4,127.189,144.391,152.815,106.115,125.747
MT-TH,0,0,0,0,0
MT-TS2,0,0,0,0,0
MT-TL2,0,0,0,0,0
MT-ND5,30.9835,34.7234,55.0357,41.1196,54.4834
MT-ND6,27.0721,23.6044,36.9782,32.1306,44.846
MT-TE,0,0,0,0,0
MT-CYB,118.832,159.423,144.695,112.507,185.532
MT-TT,0,0,0,0,0
MT-TP,0,0,0,0,0
ENSG00000281819,0,0,0,0,0
ENSG00000281900,0,0,0,0,0
CH507-513H4.3,0,0,0,0,0
RPSAP68,0,0,0,0,0
ENSG00000263150,0,0,0,0,0
ENSG00000281065,0,0,0,0,0
bP-2168N6.1,0,0,0,0,0
RP11-1305N21.1,0,0,0,0,0
ENSG00000262851,0,0,0,0,0
bP-2168N6.3,0,0,0,0,0
RP11-109F19.1,0,0,0,0,0
ENSG00000280601,0,0,0,0,0
ENSG00000261897,0,0,0,0,0
LINC01666,0,0,0,0,0
ENSG00000262784,0,0,0,0,0
ZNF92P1Y,0,0,0,0,0
SNX18P10,0,0,0,0,0
ENSG00000262611,0,0,0,0,0
ENSG00000273578,0,0,0,0,0
MICU2,46.4951,52.4783,55.567,46.2884,50.8009
MTCO1P1,0,0,0,0,0
ENSG00000280712,0,0,0,0,0
RP11-108F14.1,0,0,0,0,0
ENSG00000262755,0,0,0,0,0
ENSG00000281773,0,0,0,0,0
ENSG00000280944,0,0,0,0,0
ENSG00000280617,0,0,0,0,0
FNTAP2,0,0.0305981,0.0319054,0.0260692,0
ENSG00000280917,0,0,0,0,0
ENSG00000263328,0,0,0,0,0
ENSG00000281668,0,0,0,0,0
ENSG00000237334,0,0,0,0,0
ENSG00000281820,0,0,0,0,0
