gene;gene_id
DHFRL1;ENSG00000178700
C16orf13;ENSG00000130731
MLLT4;ENSG00000130396
MIR1199;ENSG00000284081
FAM73B;ENSG00000148343
ADCK3;ENSG00000163050
CASC5;ENSG00000137812
AGAP14P;ENSG00000279058
LRRC16A;ENSG00000079691
CCDC67;ENSG00000165325
CCDC109B;ENSG00000005059
ANO7P1;ENSG00000237276
EBLN3;ENSG00000281649
C9orf91;ENSG00000157693
ADCK4;ENSG00000123815
ZSCAN5CP;ENSG00000204532
CCDC163P;ENSG00000280670
ATHL1;ENSG00000142102
CDK7PS;ENSG00000213194
KIAA0226L;ENSG00000102445
C9orf114;ENSG00000198917
KIAA1715;ENSG00000144320
FAM73A;ENSG00000180488 
MLLT4-AS1;ENSG00000198221
C7orf55;ENSG00000164898
TMEM30C;ENSG00000235156
ZNF724P;ENSG00000196081
ENSG00000281041;ENSG00000281041
ENSG00000281594;ENSG00000281594
ENSG00000221156;ENSG00000221156
ENSG00000278076;ENSG00000278076
ENSG00000264209;ENSG00000264209
ENSG00000252234;ENSG00000252234
ENSG00000281867;ENSG00000281867
ENSG00000279843;ENSG00000279843
ENSG00000281046;ENSG00000281046
ENSG00000274368;ENSG00000274368
ENSG00000264239;ENSG00000264239
ENSG00000221487;ENSG00000221487
ENSG00000277555;ENSG00000277555
ENSG00000281599;ENSG00000281599
ENSG00000230812;ENSG00000230812
ENSG00000221319;ENSG00000221319
ENSG00000265904;ENSG00000265904
ENSG00000264383;ENSG00000264383
ENSG00000280887;ENSG00000280887
ENSG00000216083;ENSG00000216083
ENSG00000211535;ENSG00000211535
ENSG00000266347;ENSG00000266347
ENSG00000252869;ENSG00000252869
ENSG00000274151;ENSG00000274151
ENSG00000222316;ENSG00000222316
ENSG00000265317;ENSG00000265317
ENSG00000280763;ENSG00000280763
ENSG00000223907;ENSG00000223907
ENSG00000281209;ENSG00000281209
ENSG00000216125;ENSG00000216125
ENSG00000264224;ENSG00000264224
ENSG00000280730;ENSG00000280730
ENSG00000281288;ENSG00000281288
ENSG00000205246;ENSG00000205246
ENSG00000274318;ENSG00000274318
ENSG00000279978;ENSG00000279978
ENSG00000273941;ENSG00000273941
ENSG00000266176;ENSG00000266176
ENSG00000263933;ENSG00000263933
ENSG00000263931;ENSG00000263931
ENSG00000266854;ENSG00000266854
ENSG00000274096;ENSG00000274096
ENSG00000273632;ENSG00000273632
ENSG00000276288;ENSG00000276288
ENSG00000239036;ENSG00000239036
ENSG00000271997;ENSG00000271997
ENSG00000223286;ENSG00000223286
ENSG00000222482;ENSG00000222482
ENSG00000222732;ENSG00000222732
ENSG00000281789;ENSG00000281789
ENSG00000273672;ENSG00000273672
ENSG00000280777;ENSG00000280777
ENSG00000263768;ENSG00000263768
ENSG00000252375;ENSG00000252375
ENSG00000281433;ENSG00000281433
ENSG00000281715;ENSG00000281715
ENSG00000252949;ENSG00000252949
ENSG00000264114;ENSG00000264114
ENSG00000278479;ENSG00000278479
ENSG00000265295;ENSG00000265295
ENSG00000265642;ENSG00000265642
ENSG00000220981;ENSG00000220981
ENSG00000220987;ENSG00000220987
ENSG00000221058;ENSG00000221058
ENSG00000221051;ENSG00000221051
ENSG00000255414;ENSG00000255414
ENSG00000281555;ENSG00000281555
ENSG00000278282;ENSG00000278282
ENSG00000252940;ENSG00000252940
ENSG00000233800;ENSG00000233800
